,Rank,Player,Club,Nationality,Stat,Unnamed: 5
0,1,Alan Shearer,-,England,260,
1,2,Wayne Rooney,-,England,208,
2,3,Harry Kane,Tottenham Hotspur,England,203,
3,4,Andrew Cole,-,England,187,
4,5,Sergio Agüero,-,Argentina,184,
5,6,Frank Lampard,-,England,177,
6,7,Thierry Henry,-,France,175,
7,8,Robbie Fowler,-,England,163,
8,9,Jermain Defoe,-,England,162,
9,10,Michael Owen,-,England,150,
10,11,Les Ferdinand,-,England,149,
11,12,Teddy Sheringham,-,England,146,
12,13,Robin van Persie,-,Netherlands,144,
13,14,Jamie Vardy,Leicester City,England,134,
14,15,Mohamed Salah,Liverpool,Egypt,131,
15,16,Jimmy Floyd Hasselbaink,-,Netherlands,127,
16,17,Robbie Keane,-,Ireland,126,
17,18,Nicolas Anelka,-,France,125,
18,19,Dwight Yorke,-,Trinidad & Tobago,123,
19,20,Romelu Lukaku,-,Belgium,121,
